role,seniority,seniority_level,workplace,loc_factor,required_exp,candidate_exp,exp_gap,n_required,n_matched,n_missing,match_ratio,n_extra_skills,avg_skill_demand,salary_expected,salary_gap_ratio,workplace_match,job_salary,fit
Fullstack,Pleno,2,ONSITE,1.1,4,4,0,5,3,2,0.6,2,0.99,12900.0,-0.1623,1,15400.0,1
Backend Node.js,Senior,3,REMOTE,1.0,9,10,1,5,1,4,0.2,3,0.99,17000.0,-0.0608,0,18100.0,0
Machine Learning Eng.,Junior,1,ONSITE,1.1,1,1,0,5,1,4,0.2,0,1.2,16900.0,0.3307,0,12700.0,0
Data / Python,Junior,1,ONSITE,1.1,0,0,0,5,3,2,0.6,0,1.0,10200.0,-0.1282,1,11700.0,0
Backend Node.js,Senior,3,ONSITE,1.1,6,6,0,5,1,4,0.2,0,0.99,25700.0,0.1843,0,21700.0,0
Frontend React,Pleno,2,REMOTE,1.0,5,3,-2,5,2,3,0.4,4,0.97,17800.0,0.2448,0,14300.0,0
Fullstack,Junior,1,HYBRID,1.05,1,3,2,5,1,4,0.2,4,0.99,8300.0,-0.117,1,9400.0,0
Data / Python,Junior,1,REMOTE,1.0,0,3,3,5,0,5,0.0,3,1.0,9900.0,-0.0571,1,10500.0,0
Backend Node.js,Pleno,2,ONSITE,1.1,3,0,-3,5,4,1,0.8,4,0.99,14600.0,-0.1098,1,16400.0,1
Frontend React,Junior,1,HYBRID,1.05,2,3,1,5,1,4,0.2,0,0.97,8100.0,-0.0241,1,8300.0,0
DevOps / SRE,Senior,3,REMOTE,1.0,8,5,-3,5,5,0,1.0,4,1.12,32800.0,0.1673,0,28100.0,1
Frontend React,Junior,1,HYBRID,1.05,1,0,-1,5,5,0,1.0,2,0.97,5100.0,-0.3704,1,8100.0,1
DevOps / SRE,Junior,1,ONSITE,1.1,0,0,0,5,4,1,0.8,0,1.12,11100.0,-0.2292,1,14400.0,1
Fullstack,Pleno,2,REMOTE,1.0,3,3,0,5,1,4,0.2,0,0.99,13400.0,-0.1007,1,14900.0,0
Backend Node.js,Pleno,2,HYBRID,1.05,4,4,0,5,4,1,0.8,4,0.99,13900.0,-0.0671,1,14900.0,1
Backend Node.js,Senior,3,REMOTE,1.0,8,10,2,5,0,5,0.0,0,0.99,18000.0,0.0,0,18000.0,0
Data / Python,Senior,3,ONSITE,1.1,11,13,2,5,1,4,0.2,2,1.0,21800.0,-0.0396,0,22700.0,0
Fullstack,Pleno,2,HYBRID,1.05,3,3,0,5,5,0,1.0,0,0.99,17600.0,0.0115,1,17400.0,1
Frontend React,Pleno,2,ONSITE,1.1,4,2,-2,5,1,4,0.2,3,0.97,16800.0,0.1831,0,14200.0,0
Machine Learning Eng.,Senior,3,HYBRID,1.05,8,10,2,5,3,2,0.6,2,1.2,26300.0,-0.1755,0,31900.0,1
DevOps / SRE,Pleno,2,HYBRID,1.05,5,8,3,5,5,0,1.0,2,1.12,17700.0,-0.0635,0,18900.0,1
Frontend React,Pleno,2,ONSITE,1.1,4,2,-2,5,5,0,1.0,3,0.97,15600.0,0.1556,1,13500.0,1
Machine Learning Eng.,Senior,3,ONSITE,1.1,9,11,2,5,4,1,0.8,0,1.2,37300.0,0.215,1,30700.0,1
Backend Node.js,Senior,3,REMOTE,1.0,11,11,0,5,4,1,0.8,1,0.99,19300.0,-0.0766,1,20900.0,1
Machine Learning Eng.,Pleno,2,ONSITE,1.1,4,3,-1,5,2,3,0.4,4,1.2,26100.0,0.1013,1,23700.0,0
Fullstack,Junior,1,ONSITE,1.1,2,3,1,5,5,0,1.0,0,0.99,10800.0,-0.027,1,11100.0,1
Frontend React,Junior,1,HYBRID,1.05,2,2,0,5,0,5,0.0,1,0.97,8300.0,0.0,1,8300.0,0
Data / Python,Junior,1,ONSITE,1.1,2,3,1,5,1,4,0.2,0,1.0,9800.0,-0.1695,1,11800.0,0
Data / Python,Senior,3,ONSITE,1.1,12,10,-2,5,0,5,0.0,2,1.0,23100.0,-0.0128,1,23400.0,0
Machine Learning Eng.,Pleno,2,REMOTE,1.0,5,7,2,5,0,5,0.0,0,1.2,13900.0,-0.2835,1,19400.0,0
DevOps / SRE,Junior,1,ONSITE,1.1,0,0,0,5,4,1,0.8,0,1.12,14900.0,0.192,1,12500.0,0
Machine Learning Eng.,Pleno,2,ONSITE,1.1,3,3,0,5,4,1,0.8,3,1.2,15300.0,-0.2388,1,20100.0,1
Backend Node.js,Pleno,2,HYBRID,1.05,5,4,-1,5,1,4,0.2,0,0.99,11700.0,-0.1702,0,14100.0,0
Data / Python,Senior,3,HYBRID,1.05,10,9,-1,5,0,5,0.0,2,1.0,17500.0,-0.3164,1,25600.0,0
Frontend React,Senior,3,REMOTE,1.0,7,5,-2,5,4,1,0.8,4,0.97,20400.0,0.1461,1,17800.0,1
Frontend React,Pleno,2,HYBRID,1.05,5,5,0,5,5,0,1.0,2,0.97,14700.0,0.1484,1,12800.0,1
Frontend React,Pleno,2,HYBRID,1.05,5,3,-2,5,3,2,0.6,2,0.97,13100.0,-0.0507,1,13800.0,0
Frontend React,Senior,3,HYBRID,1.05,11,13,2,5,5,0,1.0,2,0.97,21000.0,0.0714,0,19600.0,1
Backend Node.js,Junior,1,HYBRID,1.05,1,3,2,5,4,1,0.8,3,0.99,11100.0,0.1935,1,9300.0,1
Fullstack,Junior,1,HYBRID,1.05,1,1,0,5,0,5,0.0,4,0.99,8300.0,-0.1531,1,9800.0,0
Fullstack,Senior,3,ONSITE,1.1,8,9,1,5,3,2,0.6,0,0.99,25300.0,0.1096,0,22800.0,0
Backend Node.js,Junior,1,ONSITE,1.1,2,2,0,5,5,0,1.0,0,0.99,12100.0,0.2347,1,9800.0,1
Machine Learning Eng.,Senior,3,REMOTE,1.0,12,12,0,5,1,4,0.2,0,1.2,27900.0,0.1577,1,24100.0,0
Machine Learning Eng.,Junior,1,ONSITE,1.1,2,0,-2,5,3,2,0.6,3,1.2,10800.0,-0.234,1,14100.0,1
Data / Python,Senior,3,HYBRID,1.05,8,10,2,5,4,1,0.8,0,1.0,17400.0,-0.275,1,24000.0,1
DevOps / SRE,Junior,1,HYBRID,1.05,0,0,0,5,3,2,0.6,1,1.12,11400.0,-0.0806,0,12400.0,1
Frontend React,Junior,1,HYBRID,1.05,0,1,1,5,2,3,0.4,2,0.97,6000.0,-0.3103,1,8700.0,1
Data / Python,Senior,3,ONSITE,1.1,10,12,2,5,1,4,0.2,3,1.0,15400.0,-0.2451,1,20400.0,1
Fullstack,Pleno,2,HYBRID,1.05,4,3,-1,5,2,3,0.4,0,0.99,20600.0,0.2795,0,16100.0,0
Backend Node.js,Junior,1,REMOTE,1.0,0,0,0,5,5,0,1.0,2,0.99,10400.0,0.1818,1,8800.0,1
Fullstack,Junior,1,HYBRID,1.05,2,4,2,5,4,1,0.8,3,0.99,10800.0,0.0286,0,10500.0,1
Fullstack,Pleno,2,HYBRID,1.05,5,6,1,5,0,5,0.0,0,0.99,13100.0,-0.1325,1,15100.0,0
Machine Learning Eng.,Senior,3,REMOTE,1.0,9,8,-1,5,4,1,0.8,2,1.2,36800.0,0.41,1,26100.0,0
Frontend React,Pleno,2,REMOTE,1.0,3,3,0,5,5,0,1.0,4,0.97,12600.0,-0.0156,1,12800.0,1
Data / Python,Junior,1,REMOTE,1.0,1,0,-1,5,5,0,1.0,1,1.0,11900.0,0.2526,1,9500.0,1
DevOps / SRE,Junior,1,HYBRID,1.05,0,3,3,5,5,0,1.0,2,1.12,11500.0,-0.065,1,12300.0,1
Machine Learning Eng.,Senior,3,REMOTE,1.0,12,14,2,5,3,2,0.6,1,1.2,24400.0,0.0991,1,22200.0,1
Machine Learning Eng.,Junior,1,REMOTE,1.0,1,0,-1,5,4,1,0.8,3,1.2,10700.0,-0.144,0,12500.0,1
Fullstack,Junior,1,REMOTE,1.0,1,4,3,5,0,5,0.0,1,0.99,9500.0,0.0106,1,9400.0,0
Data / Python,Senior,3,REMOTE,1.0,11,12,1,5,0,5,0.0,1,1.0,16600.0,-0.2133,1,21100.0,0
Backend Node.js,Junior,1,ONSITE,1.1,0,0,0,5,0,5,0.0,3,0.99,7700.0,-0.2222,1,9900.0,0
Frontend React,Pleno,2,HYBRID,1.05,3,6,3,5,1,4,0.2,2,0.97,12900.0,-0.0515,1,13600.0,0
Backend Node.js,Junior,1,HYBRID,1.05,1,0,-1,5,2,3,0.4,1,0.99,5000.0,-0.4624,1,9300.0,0
Frontend React,Junior,1,REMOTE,1.0,2,3,1,5,2,3,0.4,4,0.97,8500.0,-0.0341,1,8800.0,1
Backend Node.js,Senior,3,REMOTE,1.0,6,6,0,5,4,1,0.8,0,0.99,15800.0,-0.233,0,20600.0,1
Machine Learning Eng.,Senior,3,HYBRID,1.05,9,12,3,5,5,0,1.0,2,1.2,37500.0,0.2712,1,29500.0,1
DevOps / SRE,Junior,1,HYBRID,1.05,0,3,3,5,4,1,0.8,0,1.12,7900.0,-0.368,1,12500.0,1
Backend Node.js,Pleno,2,ONSITE,1.1,5,7,2,5,4,1,0.8,0,0.99,13000.0,-0.2486,1,17300.0,1
Backend Node.js,Junior,1,REMOTE,1.0,2,5,3,5,0,5,0.0,2,0.99,10000.0,0.1111,1,9000.0,0
Backend Node.js,Senior,3,HYBRID,1.05,8,5,-3,5,1,4,0.2,3,0.99,13700.0,-0.2751,1,18900.0,0
Data / Python,Senior,3,REMOTE,1.0,7,9,2,5,0,5,0.0,1,1.0,22900.0,-0.0418,1,23900.0,0
Data / Python,Pleno,2,ONSITE,1.1,4,7,3,5,4,1,0.8,2,1.0,17600.0,-0.0881,0,19300.0,1
DevOps / SRE,Pleno,2,ONSITE,1.1,4,3,-1,5,0,5,0.0,3,1.12,20000.0,-0.005,1,20100.0,0
Machine Learning Eng.,Junior,1,REMOTE,1.0,2,5,3,5,2,3,0.4,3,1.2,11100.0,-0.0431,1,11600.0,1
DevOps / SRE,Senior,3,ONSITE,1.1,9,12,3,5,2,3,0.4,3,1.12,23900.0,-0.2112,1,30300.0,1
Frontend React,Senior,3,REMOTE,1.0,9,8,-1,5,5,0,1.0,1,0.97,22500.0,0.1029,1,20400.0,1
DevOps / SRE,Pleno,2,HYBRID,1.05,5,7,2,5,2,3,0.4,1,1.12,20200.0,0.01,1,20000.0,0
Backend Node.js,Junior,1,ONSITE,1.1,2,3,1,5,1,4,0.2,3,0.99,7400.0,-0.1778,1,9000.0,0
Data / Python,Pleno,2,REMOTE,1.0,4,1,-3,5,2,3,0.4,2,1.0,15500.0,-0.0373,1,16100.0,0
Data / Python,Junior,1,REMOTE,1.0,0,2,2,5,1,4,0.2,4,1.0,11500.0,0.1165,0,10300.0,0
Data / Python,Pleno,2,HYBRID,1.05,3,3,0,5,0,5,0.0,1,1.0,9200.0,-0.5,0,18400.0,0
Frontend React,Pleno,2,REMOTE,1.0,4,5,1,5,2,3,0.4,1,0.97,10300.0,-0.2077,1,13000.0,0
Data / Python,Pleno,2,ONSITE,1.1,3,4,1,5,0,5,0.0,1,1.0,23100.0,0.32,0,17500.0,0
Data / Python,Pleno,2,REMOTE,1.0,3,5,2,5,5,0,1.0,0,1.0,18500.0,0.2092,1,15300.0,1
Machine Learning Eng.,Junior,1,REMOTE,1.0,0,0,0,5,0,5,0.0,4,1.2,10900.0,-0.0763,1,11800.0,0
Fullstack,Pleno,2,ONSITE,1.1,4,1,-3,5,2,3,0.4,4,0.99,20700.0,0.247,1,16600.0,0
Frontend React,Senior,3,REMOTE,1.0,7,5,-2,5,1,4,0.2,0,0.97,21200.0,0.1099,1,19100.0,0
Data / Python,Senior,3,HYBRID,1.05,8,7,-1,5,3,2,0.6,3,1.0,24800.0,0.0333,0,24000.0,0
Frontend React,Pleno,2,ONSITE,1.1,3,4,1,5,2,3,0.4,3,0.97,17100.0,0.2391,0,13800.0,0
Fullstack,Junior,1,ONSITE,1.1,1,0,-1,5,0,5,0.0,1,0.99,7900.0,-0.1856,1,9700.0,0
Frontend React,Junior,1,HYBRID,1.05,2,3,1,5,0,5,0.0,4,0.97,6800.0,-0.236,1,8900.0,0
Machine Learning Eng.,Pleno,2,REMOTE,1.0,4,1,-3,5,2,3,0.4,0,1.2,20600.0,0.0198,1,20200.0,0
Fullstack,Junior,1,ONSITE,1.1,2,4,2,5,4,1,0.8,4,0.99,13200.0,0.1892,1,11100.0,1
Frontend React,Junior,1,HYBRID,1.05,2,3,1,5,3,2,0.6,1,0.97,9500.0,0.0674,1,8900.0,1
Frontend React,Junior,1,REMOTE,1.0,2,0,-2,5,3,2,0.6,0,0.97,5700.0,-0.3523,1,8800.0,0
Fullstack,Junior,1,ONSITE,1.1,0,0,0,5,1,4,0.2,1,0.99,10500.0,0.0096,1,10400.0,0
Fullstack,Pleno,2,ONSITE,1.1,5,4,-1,5,5,0,1.0,2,0.99,12000.0,-0.1429,1,14000.0,1
Fullstack,Senior,3,HYBRID,1.05,12,14,2,5,1,4,0.2,4,0.99,16400.0,-0.2227,1,21100.0,1
Frontend React,Pleno,2,HYBRID,1.05,5,7,2,5,2,3,0.4,1,0.97,13200.0,0.0312,0,12800.0,0
Machine Learning Eng.,Senior,3,HYBRID,1.05,6,7,1,5,4,1,0.8,2,1.2,23700.0,-0.0778,1,25700.0,1
Machine Learning Eng.,Senior,3,REMOTE,1.0,9,9,0,5,0,5,0.0,1,1.2,32700.0,0.2111,1,27000.0,0
Fullstack,Pleno,2,REMOTE,1.0,3,0,-3,5,2,3,0.4,0,0.99,19500.0,0.4552,0,13400.0,0
Frontend React,Pleno,2,ONSITE,1.1,3,1,-2,5,0,5,0.0,1,0.97,14300.0,-0.0272,1,14700.0,0
Fullstack,Senior,3,REMOTE,1.0,10,11,1,5,3,2,0.6,3,0.99,17100.0,-0.1659,0,20500.0,1
Backend Node.js,Junior,1,ONSITE,1.1,2,2,0,5,1,4,0.2,1,0.99,11300.0,0.0561,1,10700.0,0
Fullstack,Pleno,2,ONSITE,1.1,3,1,-2,5,5,0,1.0,4,0.99,13600.0,-0.0933,1,15000.0,1
Frontend React,Senior,3,REMOTE,1.0,6,3,-3,5,0,5,0.0,1,0.97,19000.0,0.0326,1,18400.0,0
Data / Python,Senior,3,REMOTE,1.0,6,8,2,5,4,1,0.8,1,1.0,19800.0,-0.0959,0,21900.0,1
Frontend React,Pleno,2,ONSITE,1.1,4,4,0,5,1,4,0.2,1,0.97,13600.0,-0.049,1,14300.0,0
Frontend React,Junior,1,REMOTE,1.0,1,0,-1,5,5,0,1.0,4,0.97,9400.0,0.119,1,8400.0,1
Frontend React,Junior,1,ONSITE,1.1,1,1,0,5,2,3,0.4,4,0.97,6800.0,-0.2609,1,9200.0,0
Machine Learning Eng.,Junior,1,REMOTE,1.0,2,2,0,5,3,2,0.6,0,1.2,8800.0,-0.2542,1,11800.0,0
Backend Node.js,Junior,1,REMOTE,1.0,1,0,-1,5,4,1,0.8,2,0.99,8800.0,0.1,1,8000.0,1
Machine Learning Eng.,Pleno,2,REMOTE,1.0,3,5,2,5,1,4,0.2,3,1.2,17700.0,-0.0733,1,19100.0,1
Machine Learning Eng.,Senior,3,HYBRID,1.05,12,13,1,5,0,5,0.0,2,1.2,23500.0,-0.2724,1,32300.0,0
Data / Python,Junior,1,REMOTE,1.0,1,0,-1,5,3,2,0.6,0,1.0,8200.0,-0.18,1,10000.0,1
Frontend React,Junior,1,HYBRID,1.05,2,0,-2,5,4,1,0.8,0,0.97,4600.0,-0.4588,1,8500.0,1
Data / Python,Senior,3,ONSITE,1.1,6,6,0,5,0,5,0.0,4,1.0,26400.0,0.0435,1,25300.0,0
Backend Node.js,Junior,1,ONSITE,1.1,1,4,3,5,4,1,0.8,4,0.99,9700.0,0.0104,1,9600.0,1
Frontend React,Pleno,2,REMOTE,1.0,3,0,-3,5,1,4,0.2,4,0.97,18000.0,0.25,1,14400.0,0
DevOps / SRE,Senior,3,HYBRID,1.05,10,10,0,5,5,0,1.0,1,1.12,22900.0,0.0044,1,22800.0,1
Data / Python,Pleno,2,HYBRID,1.05,3,5,2,5,1,4,0.2,2,1.0,18400.0,-0.0316,1,19000.0,0
Fullstack,Senior,3,REMOTE,1.0,9,11,2,5,5,0,1.0,4,0.99,20000.0,0.0152,1,19700.0,1
Frontend React,Pleno,2,ONSITE,1.1,3,1,-2,5,4,1,0.8,2,0.97,14000.0,-0.0411,0,14600.0,0
Frontend React,Senior,3,ONSITE,1.1,12,12,0,5,2,3,0.4,0,0.97,11800.0,-0.4354,1,20900.0,0
Fullstack,Junior,1,ONSITE,1.1,2,4,2,5,5,0,1.0,1,0.99,10600.0,0.0816,1,9800.0,1
Fullstack,Pleno,2,HYBRID,1.05,5,2,-3,5,0,5,0.0,2,0.99,13900.0,0.0945,0,12700.0,0
Backend Node.js,Senior,3,ONSITE,1.1,8,9,1,5,5,0,1.0,3,0.99,20000.0,-0.0521,1,21100.0,1
DevOps / SRE,Pleno,2,HYBRID,1.05,5,4,-1,5,2,3,0.4,2,1.12,12600.0,-0.2455,0,16700.0,0
Machine Learning Eng.,Senior,3,ONSITE,1.1,8,8,0,5,3,2,0.6,1,1.2,31600.0,0.026,1,30800.0,0
Frontend React,Senior,3,ONSITE,1.1,9,8,-1,5,1,4,0.2,2,0.97,18800.0,-0.0693,1,20200.0,0
Fullstack,Senior,3,REMOTE,1.0,12,15,3,5,0,5,0.0,4,0.99,19300.0,-0.1187,0,21900.0,0
Backend Node.js,Senior,3,ONSITE,1.1,8,10,2,5,2,3,0.4,1,0.99,23200.0,0.0175,0,22800.0,1
Machine Learning Eng.,Senior,3,REMOTE,1.0,12,15,3,5,4,1,0.8,0,1.2,25400.0,0.0496,1,24200.0,1
Fullstack,Junior,1,HYBRID,1.05,2,0,-2,5,4,1,0.8,1,0.99,6200.0,-0.2439,0,8200.0,0
Backend Node.js,Junior,1,ONSITE,1.1,2,4,2,5,3,2,0.6,4,0.99,8800.0,-0.0833,0,9600.0,1
Machine Learning Eng.,Junior,1,HYBRID,1.05,0,0,0,5,0,5,0.0,4,1.2,11000.0,-0.1538,1,13000.0,0
Machine Learning Eng.,Pleno,2,HYBRID,1.05,4,7,3,5,3,2,0.6,3,1.2,25400.0,0.1981,1,21200.0,1
Frontend React,Pleno,2,ONSITE,1.1,4,4,0,5,1,4,0.2,0,0.97,14600.0,0.021,1,14300.0,0
Machine Learning Eng.,Senior,3,HYBRID,1.05,7,4,-3,5,4,1,0.8,4,1.2,19900.0,-0.3432,1,30300.0,1
Data / Python,Pleno,2,ONSITE,1.1,3,4,1,5,3,2,0.6,3,1.0,19600.0,0.2099,1,16200.0,1
DevOps / SRE,Senior,3,HYBRID,1.05,6,3,-3,5,1,4,0.2,3,1.12,26600.0,0.0431,1,25500.0,0
Data / Python,Pleno,2,HYBRID,1.05,4,7,3,5,4,1,0.8,4,1.0,15700.0,-0.203,1,19700.0,1
Frontend React,Pleno,2,ONSITE,1.1,3,1,-2,5,3,2,0.6,1,0.97,12200.0,-0.0543,0,12900.0,0
Fullstack,Junior,1,REMOTE,1.0,1,4,3,5,4,1,0.8,0,0.99,8800.0,0.0115,0,8700.0,1
Fullstack,Pleno,2,HYBRID,1.05,5,2,-3,5,2,3,0.4,1,0.99,13600.0,-0.1605,0,16200.0,0
Frontend React,Pleno,2,ONSITE,1.1,3,1,-2,5,0,5,0.0,4,0.97,11100.0,-0.1527,1,13100.0,0
Frontend React,Junior,1,REMOTE,1.0,0,0,0,5,2,3,0.4,3,0.97,8400.0,-0.0233,1,8600.0,0
Machine Learning Eng.,Senior,3,ONSITE,1.1,8,7,-1,5,2,3,0.4,4,1.2,23500.0,-0.1065,0,26300.0,0
Frontend React,Pleno,2,HYBRID,1.05,4,4,0,5,5,0,1.0,2,0.97,14200.0,0.0597,1,13400.0,1
Fullstack,Pleno,2,ONSITE,1.1,4,7,3,5,4,1,0.8,3,0.99,17100.0,-0.0952,1,18900.0,1
Fullstack,Junior,1,HYBRID,1.05,2,1,-1,5,2,3,0.4,3,0.99,10200.0,0.02,1,10000.0,0
DevOps / SRE,Senior,3,HYBRID,1.05,11,12,1,5,0,5,0.0,3,1.12,25700.0,0.089,0,23600.0,0
Machine Learning Eng.,Senior,3,ONSITE,1.1,12,14,2,5,0,5,0.0,4,1.2,21900.0,-0.2206,1,28100.0,0
DevOps / SRE,Junior,1,HYBRID,1.05,0,2,2,5,4,1,0.8,3,1.12,7800.0,-0.2778,1,10800.0,1
Frontend React,Senior,3,REMOTE,1.0,12,10,-2,5,5,0,1.0,3,0.97,21800.0,0.1179,1,19500.0,1
Frontend React,Pleno,2,ONSITE,1.1,4,7,3,5,5,0,1.0,1,0.97,17400.0,0.234,0,14100.0,1
Data / Python,Junior,1,HYBRID,1.05,1,1,0,5,1,4,0.2,2,1.0,10200.0,0.0408,0,9800.0,0
DevOps / SRE,Senior,3,REMOTE,1.0,10,8,-2,5,0,5,0.0,1,1.12,20200.0,-0.1721,1,24400.0,0
Backend Node.js,Pleno,2,HYBRID,1.05,5,5,0,5,2,3,0.4,3,0.99,16300.0,0.1643,0,14000.0,1
Fullstack,Junior,1,REMOTE,1.0,2,2,0,5,1,4,0.2,4,0.99,8000.0,-0.2,0,10000.0,0
Machine Learning Eng.,Junior,1,REMOTE,1.0,2,4,2,5,5,0,1.0,0,1.2,5700.0,-0.4818,1,11000.0,1
Machine Learning Eng.,Pleno,2,HYBRID,1.05,5,4,-1,5,5,0,1.0,3,1.2,20100.0,-0.0946,1,22200.0,1
Fullstack,Pleno,2,REMOTE,1.0,5,2,-3,5,4,1,0.8,2,0.99,12500.0,-0.1776,1,15200.0,1
Data / Python,Junior,1,HYBRID,1.05,0,0,0,5,4,1,0.8,3,1.0,12300.0,0.1284,1,10900.0,1
Frontend React,Senior,3,HYBRID,1.05,6,7,1,5,1,4,0.2,2,0.97,14600.0,-0.1657,1,17500.0,0
Frontend React,Senior,3,ONSITE,1.1,6,6,0,5,2,3,0.4,3,0.97,14700.0,-0.3,0,21000.0,1
Machine Learning Eng.,Junior,1,HYBRID,1.05,0,0,0,5,3,2,0.6,0,1.2,11000.0,-0.1406,1,12800.0,0
Data / Python,Senior,3,REMOTE,1.0,9,6,-3,5,2,3,0.4,1,1.0,18300.0,-0.1567,1,21700.0,0
Data / Python,Junior,1,REMOTE,1.0,0,0,0,5,5,0,1.0,0,1.0,7300.0,-0.3048,1,10500.0,1
Backend Node.js,Junior,1,REMOTE,1.0,0,1,1,5,4,1,0.8,1,0.99,7700.0,-0.0941,0,8500.0,1
Fullstack,Pleno,2,HYBRID,1.05,3,1,-2,5,2,3,0.4,2,0.99,19000.0,0.2179,0,15600.0,0
Data / Python,Senior,3,ONSITE,1.1,10,7,-3,5,5,0,1.0,4,1.0,20000.0,-0.1525,1,23600.0,1
Machine Learning Eng.,Junior,1,HYBRID,1.05,1,1,0,5,3,2,0.6,3,1.2,9300.0,-0.2439,1,12300.0,1
Fullstack,Pleno,2,ONSITE,1.1,3,5,2,5,1,4,0.2,3,0.99,13900.0,-0.1032,1,15500.0,0
Machine Learning Eng.,Senior,3,HYBRID,1.05,9,12,3,5,2,3,0.4,2,1.2,23000.0,-0.2508,0,30700.0,1
DevOps / SRE,Pleno,2,ONSITE,1.1,4,7,3,5,2,3,0.4,2,1.12,12200.0,-0.337,1,18400.0,1
Data / Python,Junior,1,HYBRID,1.05,0,2,2,5,0,5,0.0,1,1.0,6800.0,-0.3874,1,11100.0,0
Data / Python,Junior,1,ONSITE,1.1,0,1,1,5,2,3,0.4,1,1.0,9700.0,-0.1261,0,11100.0,0
Machine Learning Eng.,Senior,3,HYBRID,1.05,12,10,-2,5,2,3,0.4,4,1.2,28500.0,0.0,1,28500.0,0
DevOps / SRE,Pleno,2,ONSITE,1.1,5,4,-1,5,0,5,0.0,2,1.12,12000.0,-0.4286,0,21000.0,0
DevOps / SRE,Pleno,2,ONSITE,1.1,4,5,1,5,4,1,0.8,4,1.12,19800.0,-0.0388,1,20600.0,1
Fullstack,Junior,1,REMOTE,1.0,1,0,-1,5,3,2,0.6,1,0.99,9400.0,-0.0505,1,9900.0,0
Machine Learning Eng.,Senior,3,REMOTE,1.0,9,7,-2,5,1,4,0.2,2,1.2,29100.0,0.0699,1,27200.0,0
Backend Node.js,Senior,3,ONSITE,1.1,7,8,1,5,0,5,0.0,4,0.99,20400.0,-0.0811,0,22200.0,0
DevOps / SRE,Pleno,2,HYBRID,1.05,3,6,3,5,2,3,0.4,3,1.12,17000.0,-0.023,1,17400.0,1
Frontend React,Pleno,2,REMOTE,1.0,5,5,0,5,4,1,0.8,4,0.97,14800.0,0.0803,1,13700.0,1
Fullstack,Junior,1,REMOTE,1.0,2,2,0,5,2,3,0.4,1,0.99,10700.0,0.0,1,10700.0,0
DevOps / SRE,Senior,3,ONSITE,1.1,7,8,1,5,5,0,1.0,1,1.12,30200.0,0.0307,1,29300.0,1
Frontend React,Pleno,2,HYBRID,1.05,5,4,-1,5,1,4,0.2,0,0.97,10500.0,-0.2606,1,14200.0,0
Data / Python,Senior,3,REMOTE,1.0,12,13,1,5,5,0,1.0,4,1.0,17700.0,-0.1611,1,21100.0,1
DevOps / SRE,Senior,3,REMOTE,1.0,10,10,0,5,1,4,0.2,2,1.12,25000.0,-0.0602,1,26600.0,0
Backend Node.js,Senior,3,HYBRID,1.05,6,9,3,5,2,3,0.4,2,0.99,25400.0,0.1814,1,21500.0,1
DevOps / SRE,Pleno,2,ONSITE,1.1,3,4,1,5,3,2,0.6,0,1.12,10500.0,-0.4415,1,18800.0,0
Fullstack,Senior,3,HYBRID,1.05,12,10,-2,5,2,3,0.4,0,0.99,13000.0,-0.3689,0,20600.0,0
